Date,Search Count,Exam Count,Subjects
2024-10-20,21.0,0.0,None
2024-10-21,4.0,0.0,None
2024-10-22,7.0,0.0,None
2024-10-23,9.0,0.0,None
2024-10-24,16.0,0.0,None
2024-10-25,7.0,0.0,None
2024-10-26,1.0,0.0,None
2024-10-27,3.0,0.0,None
2024-10-28,6.0,0.0,None
2024-10-29,9.0,0.0,None
2024-10-30,1.0,0.0,None
2024-10-31,3.0,0.0,None
2024-11-01,4.0,1.0,CS306
2024-11-02,8.0,1.0,CS303
2024-11-03,4.0,0.0,None
2024-11-04,17.0,1.0,CS310
2024-11-05,13.0,0.0,None
2024-11-06,13.0,0.0,None
2024-11-07,3.0,1.0,NS213
2024-11-08,8.0,0.0,None
2024-11-09,7.0,0.0,None
2024-11-10,13.0,1.0,DSA210
2024-11-11,4.0,0.0,None
2024-11-12,6.0,0.0,None
2024-11-13,9.0,0.0,None
2024-11-14,3.0,0.0,None
2024-11-15,6.0,0.0,None
2024-11-16,7.0,0.0,None
2024-11-17,8.0,0.0,None
2024-11-18,9.0,0.0,None
2024-11-19,6.0,0.0,None
2024-11-20,5.0,0.0,None
2024-11-21,9.0,0.0,None
2024-11-22,10.0,0.0,None
2024-11-23,15.0,0.0,None
2024-11-24,1.0,1.0,CS300
2024-11-25,10.0,0.0,None
2024-11-27,8.0,0.0,None
